DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL
1600.1008,15.8981,0.0441,1.5991,147.1417,232.5668,43.3823,0.612,3.9722,2.4931,1.5889,2.1446
1600.2532,15.909,0.0441,1.6365,146.4339,237.8306,40.1713,0.615,3.4924,2.048,3.1137,1.7889
1600.4056,15.8063,0.0367,1.5276,146.8529,236.3869,37.5908,0.6082,3.1538,1.4643,2.6729,1.3195
1600.558,15.5012,0.019,1.4109,146.0672,234.517,34.6185,0.6018,3.563,1.2622,0.9454,1.1476
1600.7104,15.4121,0.0071,1.3505,145.7427,231.7471,36.1969,0.6256,4.2855,1.1629,0.755,1.062
1600.8628,15.646,0.0034,1.3947,146.1323,230.5752,36.0957,0.6346,5.0574,1.2362,0.8298,1.13
1601.0152,15.8112,0.0042,1.4526,146.4675,238.5497,38.4389,0.6316,5.5396,1.2824,1.0208,1.1594
1601.1676,15.9135,0.0037,1.5026,152.6558,233.4344,38.4389,0.5951,5.8779,1.2707,1.1003,1.1648
1601.32,15.8428,0.0054,1.5321,158.8136,233.6696,38.7805,0.6011,6.184,1.3491,0.8992,1.1981
1601.4724,15.8142,0.0062,1.5694,158.3535,234.1196,37.4363,0.5752,5.9759,1.4138,0.8152,1.2587
1601.6248,15.7724,0.0074,1.5844,159.303,233.9947,36.257,0.6195,5.4106,1.5315,1.0157,1.3044
1601.7772,15.7575,0.008,1.5867,157.4093,233.2886,38.5465,0.5914,4.5197,1.664,0.9749,1.4441
1601.9296,15.8169,0.006,1.5242,156.2134,234.0939,40.5281,0.6129,4.1533,1.7507,1.077,1.4718
1602.082,15.6927,0.0044,1.4742,154.9946,237.4728,47.6616,0.604,4.1008,1.6895,0.9173,1.4434
1602.2344,15.4944,0.0047,1.4556,152.3657,218.3994,56.092,0.597,4.4551,1.6919,0.9279,1.4341
1602.3868,15.4458,0.0075,1.5052,151.0389,221.7434,64.6855,0.566,4.708,1.7031,0.9329,1.4456
1602.5392,15.367,0.0132,1.5744,151.2514,214.3031,67.3744,0.5393,4.7106,1.6634,0.8093,1.4136
1602.6916,15.3596,0.0227,1.6206,149.7559,228.4827,71.5468,0.555,4.7164,1.6717,0.9247,1.3815
1602.844,15.3484,0.0278,1.6279,149.0765,224.7644,72.7611,0.601,4.8103,1.6621,1.0091,1.3828
1602.9964,15.286,0.0251,1.6095,148.2755,218.7829,73.7317,0.5691,4.8558,1.7486,0.909,1.4413
1603.1488,15.2319,0.0163,1.5835,147.347,223.0606,72.9465,0.5929,4.9423,1.7832,0.8945,1.4731
1603.3012,15.2225,0.0111,1.5583,146.0214,222.8147,76.539,0.5595,5.0603,1.8007,1.3826,1.4559
1603.4536,15.2115,0.006,1.5496,144.6419,224.1577,78.563,0.5895,5.2474,1.7136,1.6669,1.4043
1603.606,15.218,0.0027,1.54,145.5789,223.2188,75.7013,0.5672,5.2436,1.6233,0.9886,1.3484
1603.7584,15.2734,-0.0007,1.5137,145.4517,222.7015,70.2873,0.5626,5.5182,1.6463,0.9218,1.3378
1603.9108,15.2214,-0.0033,1.4716,131.6066,228.2914,69.6549,0.5564,5.328,1.7286,1.0518,1.4142
1604.0632,15.0046,-0.0052,1.434,129.1952,226.2876,71.5777,0.5507,5.1445,1.7594,0.8863,1.4497
1604.2156,14.9038,-0.0021,1.4386,132.2363,217.7966,76.6881,0.5409,4.6563,1.8139,0.8899,1.4593
1604.368,14.8851,-0.0022,1.4498,130.7818,220.4085,78.094,0.5159,4.822,1.7744,0.9547,1.4231
1604.5204,14.7955,0.0001,1.4703,134.0558,224.6366,78.4988,0.5133,4.8183,1.7133,0.966,1.3879
