DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1630.9348,12.2077,-0.0071,2.1903,112.9,238.2188,63.7507,0.4347,3.3988,2.5825,3.236,2.2477,-237.5625
1631.0872,12.2199,-0.0056,2.1943,112.55,239.3153,60.5694,0.4286,3.3699,2.5695,2.5993,2.2446,-238.3125
1631.2396,12.2488,-0.0034,2.1946,112.2,239.3967,62.0238,0.3995,3.3352,2.4231,2.5443,2.1256,-237.4375
1631.392,12.2413,-0.0034,2.1955,112.6,238.5686,63.3158,0.3943,3.2561,2.2693,1.9203,1.981,-237.375
1631.5444,12.3154,-0.0046,2.1886,114.1,237.0278,64.4347,0.4458,3.1947,2.1624,1.7408,1.9056,-238.625
1631.6968,12.1993,-0.0028,2.1947,113.35,237.6216,64.6736,0.4672,3.1822,2.011,1.8418,1.767,-238.0625
1631.8492,12.1666,-0.0051,2.198,112.4,239.6138,64.1964,0.438,3.0649,1.9476,1.8014,1.7119,-237.375
1632.0016,12.1639,-0.0087,2.2003,104.7,246.7929,66.02,0.3758,3.0554,1.9107,1.7428,1.669,-234.0
1632.154,12.1779,-0.0118,2.1996,113.0,243.7693,65.5683,0.3743,3.0204,1.9273,1.7075,1.6912,-231.9375
1632.3064,12.1639,-0.0112,2.1991,114.65,244.8743,65.3089,0.3995,3.0815,1.9813,1.7089,1.7263,-231.625
1632.4588,12.16,-0.0137,2.1947,113.5,254.4363,65.6671,0.4205,3.0709,2.0239,1.777,1.7662,-231.8125
1632.6112,12.1709,-0.0149,2.1874,112.45,252.7472,63.7306,0.3968,3.3431,2.1227,1.8098,1.8414,-232.3125
1632.7636,12.1554,-0.0154,2.1892,104.5,249.7369,64.5898,0.4218,3.4158,2.219,1.998,1.9164,-232.5625
1632.916,12.1407,-0.0174,2.1839,103.4,246.7482,66.5713,0.4259,3.471,2.1994,1.9086,1.9041,-233.5
1633.0684,12.1359,-0.0175,2.185,112.05,250.9151,68.5078,0.435,3.3072,2.093,1.5811,1.8056,-234.0
1633.2208,12.1425,-0.0171,2.1822,111.95,256.4832,70.1979,0.4243,3.2437,1.9918,1.6023,1.7335,-232.75
